  TRIG, THRES, RESET,   OUT
  0.93,  0.00,  5.00,  5.00
  0.91,  0.00,  5.00,  5.00
  0.88,  0.00,  5.00,  5.00
  0.87,  0.00,  5.00,  5.00
  0.85,  0.00,  5.00,  5.00
  0.83,  0.00,  5.00,  5.00
  0.81,  0.00,  5.00,  5.00
  0.79,  0.00,  5.00,  5.00
  0.77,  0.00,  5.00,  5.00
  0.75,  0.00,  5.00,  5.00
  0.73,  0.00,  5.00,  5.00
  0.71,  0.00,  5.00,  5.00
  0.69,  0.00,  5.00,  5.00
  0.67,  0.00,  5.00,  5.00
  0.65,  0.00,  5.00,  5.00
  0.64,  0.00,  5.00,  5.00
  0.62,  0.00,  5.00,  5.00
  0.60,  0.00,  5.00,  5.00
  0.58,  0.00,  5.00,  5.00
  0.56,  0.00,  5.00,  5.00
  0.54,  0.00,  5.00,  5.00
  0.52,  0.00,  5.00,  5.00
  0.50,  0.00,  5.00,  5.00
  0.48,  0.00,  5.00,  5.00
  0.46,  0.00,  5.00,  5.00
  0.44,  0.00,  5.00,  5.00
  0.42,  0.00,  5.00,  4.99
  0.40,  0.00,  5.00,  5.00
  0.38,  0.00,  5.00,  5.00
  0.36,  0.00,  5.00,  5.00
  0.34,  0.00,  5.00,  5.00
  0.32,  0.00,  5.00,  5.00
  0.31,  0.00,  5.00,  5.00
  0.28,  0.00,  5.00,  5.00
  0.26,  0.00,  5.00,  5.00
  0.25,  0.00,  5.00,  5.00
  0.23,  0.00,  5.00,  5.00
  0.21,  0.00,  5.00,  4.99
  0.19,  0.00,  5.00,  5.00
  0.17,  0.00,  5.00,  5.00
  0.15,  0.00,  5.00,  5.00
  0.13,  0.00,  5.00,  5.00
  0.11,  0.00,  5.00,  5.00
  0.09,  0.00,  5.00,  5.00
  0.07,  0.00,  5.00,  4.99
  0.05,  0.00,  5.00,  5.00
  0.03,  0.00,  5.00,  5.00
  0.03,  0.00,  5.00,  5.00
  0.05,  0.00,  5.00,  5.00
  0.07,  0.00,  5.00,  5.00
  0.09,  0.00,  5.00,  5.00
  0.11,  0.00,  5.00,  5.00
  0.13,  0.00,  5.00,  5.00
  0.15,  0.00,  5.00,  4.99
  0.17,  0.00,  5.00,  5.00
  0.19,  0.00,  5.00,  5.00
  0.21,  0.00,  5.00,  5.00
  0.22,  0.00,  4.99,  5.00
  0.25,  0.00,  5.00,  5.00
  0.27,  0.00,  5.00,  5.00
  0.28,  0.00,  4.99,  5.00
  0.30,  0.00,  5.00,  5.00
  0.33,  0.00,  5.00,  5.00
  0.34,  0.00,  5.00,  5.00
  0.36,  0.00,  5.00,  5.00
  0.38,  0.00,  5.00,  5.00
  0.40,  0.00,  5.00,  5.00
  0.42,  0.00,  5.00,  5.00
  0.44,  0.00,  5.00,  5.00
  0.46,  0.00,  5.00,  5.00
  0.48,  0.00,  4.99,  5.00
  0.50,  0.00,  5.00,  5.00
  0.52,  0.00,  5.00,  5.00
  0.54,  0.00,  5.00,  5.00
  0.56,  0.00,  5.00,  5.00
  0.58,  0.00,  5.00,  5.00
  0.60,  0.00,  5.00,  5.00
  0.62,  0.00,  5.00,  5.00
  0.64,  0.00,  5.00,  5.00
  0.65,  0.00,  4.99,  5.00
  0.67,  0.00,  5.00,  5.00
  0.69,  0.00,  5.00,  5.00
  0.71,  0.00,  5.00,  5.00
  0.73,  0.00,  5.00,  5.00
