  TRIG, THRES, RESET,   OUT
  4.37,  4.99,  4.37,  0.01
  4.36,  4.99,  4.36,  0.01
  4.34,  4.99,  4.35,  0.01
  4.32,  5.00,  4.32,  0.01
  4.30,  5.00,  4.30,  0.01
  4.28,  4.99,  4.29,  0.01
  4.26,  4.99,  4.27,  0.01
  4.25,  5.00,  4.24,  0.01
  4.22,  5.00,  4.22,  0.01
  4.20,  5.00,  4.20,  0.01
  4.19,  4.99,  4.18,  0.01
  4.16,  4.99,  4.16,  0.01
  4.14,  4.99,  4.14,  0.01
  4.13,  4.99,  4.13,  0.01
  4.10,  4.99,  4.11,  0.01
  4.09,  4.99,  4.09,  0.01
  4.07,  4.99,  4.07,  0.01
  4.04,  4.99,  4.05,  0.01
  4.03,  5.00,  4.02,  0.01
  4.00,  5.00,  4.01,  0.01
  3.99,  5.00,  3.99,  0.01
  3.97,  4.99,  3.97,  0.01
  3.95,  4.99,  3.95,  0.01
  3.92,  4.99,  3.93,  0.01
  3.91,  4.99,  3.91,  0.01
  3.90,  4.99,  3.90,  0.01
  3.87,  4.99,  3.87,  0.01
  3.86,  4.99,  3.85,  0.01
  3.83,  4.99,  3.84,  0.01
  3.82,  4.99,  3.81,  0.01
  3.80,  4.98,  3.80,  0.01
  3.78,  4.99,  3.77,  0.01
  3.75,  4.99,  3.75,  0.01
  3.73,  5.00,  3.74,  0.01
  3.71,  4.99,  3.71,  0.01
  3.69,  5.00,  3.69,  0.01
  3.68,  4.99,  3.68,  0.01
  3.67,  4.99,  3.66,  0.01
  3.64,  4.99,  3.64,  0.01
  3.62,  4.99,  3.63,  0.01
  3.60,  5.00,  3.60,  0.01
  3.58,  4.99,  3.59,  0.01
  3.56,  4.99,  3.56,  0.01
  3.54,  5.00,  3.54,  0.01
  3.52,  4.99,  3.52,  0.01
  3.50,  4.99,  3.50,  0.01
  3.49,  4.99,  3.49,  0.01
  3.46,  4.99,  3.46,  0.01
  3.44,  4.99,  3.45,  0.01
  3.43,  4.99,  3.43,  0.01
  3.41,  4.99,  3.41,  0.01
  3.39,  5.00,  3.39,  0.01
  3.37,  5.00,  3.37,  0.01
  3.35,  4.99,  3.35,  0.01
  3.33,  5.00,  3.33,  0.01
  3.31,  5.00,  3.31,  0.01
  3.29,  5.00,  3.29,  0.01
  3.26,  4.99,  3.27,  0.01
  3.25,  4.99,  3.26,  0.01
  3.24,  4.99,  3.23,  0.01
  3.22,  4.99,  3.22,  0.01
  3.20,  4.99,  3.20,  0.01
  3.18,  4.99,  3.18,  0.01
  3.16,  4.99,  3.16,  0.01
  3.14,  5.00,  3.14,  0.01
  3.12,  4.99,  3.12,  0.01
  3.10,  4.99,  3.10,  0.01
  3.08,  4.99,  3.08,  0.01
  3.06,  4.99,  3.06,  0.01
  3.04,  4.99,  3.04,  0.01
  3.03,  4.99,  3.02,  0.01
  3.01,  4.99,  3.00,  0.01
  2.99,  5.00,  2.99,  0.01
  2.97,  4.99,  2.97,  0.01
  2.95,  4.99,  2.94,  0.01
  2.92,  4.99,  2.93,  0.01
  2.90,  4.99,  2.90,  0.01
  2.89,  4.99,  2.88,  0.01
  2.87,  5.00,  2.87,  0.01
  2.84,  4.99,  2.85,  0.01
  2.83,  4.99,  2.83,  0.01
  2.81,  4.99,  2.81,  0.01
  2.79,  4.99,  2.79,  0.01
  2.77,  4.99,  2.77,  0.01
  2.75,  4.99,  2.75,  0.01
  2.73,  5.00,  2.73,  0.01
  2.71,  5.00,  2.71,  0.01
  2.69,  5.00,  2.69,  0.01
  2.67,  4.99,  2.67,  0.01
  2.66,  5.00,  2.65,  0.01
  2.63,  4.99,  2.64,  0.01
  2.61,  5.00,  2.61,  0.01
  2.60,  5.00,  2.60,  0.01
  2.58,  4.99,  2.58,  0.01
  2.56,  4.99,  2.56,  0.01
  2.54,  4.99,  2.54,  0.01
  2.52,  5.00,  2.52,  0.01
  2.50,  4.99,  2.50,  0.01
  2.48,  4.99,  2.48,  0.01
  2.46,  4.99,  2.46,  0.01
  2.44,  5.00,  2.44,  0.01
  2.42,  4.99,  2.42,  0.01
  2.40,  4.99,  2.40,  0.01
  2.39,  5.00,  2.39,  0.01
  2.37,  5.00,  2.37,  0.01
